en,de,description,file,hash
ApiKey,API-Schlüssel,,site/modules/FieldtypeGeocoder/FieldtypeGeocoderConfig.php,806737984ab19be2fd08ba36030549ac
"ApiKey for your geocode provider. Default geocoder is [OpenCage](https://opencagedata.com/users/sign_up)","API-Schlüssel für Ihren Geokodierungsanbieter. Der Standard-Anbieter ist [OpenCage](https://opencagedata.com/users/sign_up)",,site/modules/FieldtypeGeocoder/FieldtypeGeocoderConfig.php,cbf0815188e9c2ff369ec677719a962f
"e.g. %S %n %z %L","z.B. %S %n %z %L",,site/modules/FieldtypeGeocoder/FieldtypeGeocoderConfig.php,d23bf08f067feae459f778adbd6f3dab
Format,Format,,site/modules/FieldtypeGeocoder/FieldtypeGeocoderConfig.php,520d0db389f362bf79ef56ca0af3dcab
"Format the geocoded data. Leave empty or ""native"" for default formatting. Here is the mapping: [Geocoder-PHP Formatter](https://geocoder-php.org/docs/#formatters)","Format für den Geocoder. Leer lassen oder ""native"" für die standard Formatierung vom Provider. [Geocoder-PHP Formatter](https://geocoder-php.org/docs/#formatters)",,site/modules/FieldtypeGeocoder/FieldtypeGeocoderConfig.php,b61a59e037bba52e61becb09cafb719a
"Map tile URL","Tile-URL",,site/modules/FieldtypeGeocoder/FieldtypeGeocoderConfig.php,0077bc5fd5f5159ce0d34b431c12fc25
"e.g. https://tile.tracestrack.com/topo__/{z}/{x}/{y}.webp?key=YOUR_KEY","z.B. https://tile.tracestrack.com/topo__/{z}/{x}/{y}.webp?key=YOUR_KEY",,site/modules/FieldtypeGeocoder/FieldtypeGeocoderConfig.php,2e81752bae031a14936e5f513c5b9ba6
"URL template for the map preview shown in the field. Works with any Leaflet-compatible raster tile endpoint, not just OpenStreetMap - just paste its URL template ({s}/{z}/{x}/{y} placeholders, API key included as a query param if the provider needs one).","URL für die im Feld angezeigte Kartenvorschau. Funktioniert mit jedem Leaflet-kompatiblen Raster-Tile-Anbieter, nicht nur mit OpenStreetMap – einfach dessen URL-Vorlage einfügen ({s}/{z}/{x}/{y}-Platzhalter, API-Schlüssel bei Bedarf als Query-Parameter enthalten).",,site/modules/FieldtypeGeocoder/FieldtypeGeocoderConfig.php,74da6f44741cf4736e362626088b55e6
"Map tile attribution","Tile-Attribution",,site/modules/FieldtypeGeocoder/FieldtypeGeocoderConfig.php,6d6b0b86174507ea6943c04f3122f045
"Attribution shown in the bottom-right corner of the map preview. Most tile providers require this by their terms of use - check the provider's documentation for the exact wording. HTML is allowed.","Attribution, die unten rechts in der Kartenvorschau angezeigt wird. Die meisten Tile-Anbieter verlangen diese laut ihren Nutzungsbedingungen – die genaue Formulierung findet sich in der Dokumentation des jeweiligen Anbieters. HTML ist erlaubt.",,site/modules/FieldtypeGeocoder/FieldtypeGeocoderConfig.php,5e94bf286f7550bc78730ee29e09465e
"Geoinformation not found","Geoinformationen nicht gefunden",,site/modules/FieldtypeGeocoder/InputfieldGeocoder.module,687a203f41410bdb5a4c32b21af513be
"Start typing address for searching ...","Adresse eingeben um suche zu starten...",,site/modules/FieldtypeGeocoder/InputfieldGeocoder.module,daf368d159e9f058dbc9941c7b30d315
Apply,Bestätigen,,site/modules/FieldtypeGeocoder/InputfieldGeocoder.module,9639e32cab248434a17ab32237cb3b71
"Default center",Standardzentrierung,,site/modules/FieldtypeGeocoder/InputfieldGeocoder.module,aa5dc32ac36c5bffc9e465819a5155cc
